blank,day,intercept,n_points,polished,slope
6,Y,1.2047993732013178e-07,80,False,4.586333575171537e-06
7,Y,6.194204227604243e-08,80,False,4.366515267869437e-06
8,Y,5.4821010899501697e-08,80,False,4.334112664045937e-06
9,Y,5.622470637649286e-08,80,False,4.3353610550038e-06
10,Y,5.913758770441814e-08,80,False,4.341211429874055e-06
21,Y,1.8950080987537702e-07,80,False,4.599392142051035e-06
22,Y,1.3175372139496868e-07,80,False,4.303457734975898e-06
23,Y,1.1346791426550089e-07,80,False,4.248833079710446e-06
24,Y,1.038620338388737e-07,80,False,4.228903242621194e-06
25,Y,9.664746708535135e-08,80,False,4.214500422968244e-06
76,T,5.283105156066852e-07,80,True,8.299933712022843e-06
77,T,4.987263013875962e-07,80,True,8.058102449440504e-06
78,T,4.830600037768932e-07,80,True,7.998021319668878e-06
79,T,4.683719475485726e-07,80,True,7.96545558514679e-06
80,T,4.590667362551852e-07,80,True,7.967404129157722e-06
81,T,5.049900564716072e-07,80,True,8.748874269006426e-06
82,T,4.4247947033484955e-07,80,True,8.10210527676293e-06
83,T,4.1386629387623413e-07,80,True,7.895591007332801e-06
84,T,3.9113963318135895e-07,80,True,7.76847840810564e-06
85,T,3.7435681826973137e-07,80,True,7.69220860566714e-06
86,T,4.4484152018346375e-07,80,True,8.641431452904175e-06
87,T,3.710846753272532e-07,80,True,7.88652712823273e-06
88,T,3.4655866852974927e-07,80,True,7.682655974026632e-06
89,T,3.269662233624554e-07,80,True,7.558745251470703e-06
90,T,3.120243183630419e-07,80,True,7.480986598815795e-06
91,T,4.0454107240092226e-07,80,True,8.62966312907442e-06
92,T,3.2291622774784116e-07,80,True,7.777883977529051e-06
93,T,2.92465915711311e-07,80,True,7.523658738468845e-06
94,T,2.7581305008251867e-07,80,True,7.406363338397458e-06
95,T,2.609757651026467e-07,80,True,7.322471653009206e-06
26,Y,5.36977323866424e-08,80,True,7.623554002053238e-06
27,Y,3.500373113944156e-08,80,True,6.728245990650187e-06
28,Y,2.2887208244809352e-08,80,True,6.455604758322247e-06
29,Y,1.220211126997009e-08,80,True,6.282956465353705e-06
30,Y,1.3523915105495112e-09,80,True,6.147474071174854e-06
31,Y,7.703268868708384e-08,80,True,7.5275132634939395e-06
32,Y,7.095404337262621e-09,80,True,6.4525675019943985e-06
33,Y,-1.589629609988146e-08,80,True,6.148308440066175e-06
34,Y,-2.8805200295005306e-08,80,True,6.000308775034482e-06
35,Y,-3.896225375795675e-08,80,True,5.91014595604729e-06
