day,disconnect,group,notes,polished,potential_nominal,substance
Y,none,1,file missing,False,0.0,tapwater
Y,none,2,file missing,False,0.1,tapwater
Y,none,3,file missing,False,0.2,tapwater
Y,none,4,file missing,False,0.3,tapwater
Y,none,5,file missing,False,0.4,tapwater
Y,none,6,file missing,False,0.0,blank
Y,none,7,file missing,False,0.1,blank
Y,none,8,file missing,False,0.2,blank
Y,none,9,file missing,False,0.3,blank
Y,none,10,file missing,False,0.4,blank
Y,none,11,file missing,False,0.0,sample
Y,none,12,file missing,False,0.1,sample
Y,none,13,file missing,False,0.2,sample
Y,none,14,file missing,False,0.3,sample
Y,none,15,file missing,False,0.4,sample
Y,none,16,file missing,False,0.0,sample
Y,none,17,file missing,False,0.1,sample
Y,none,18,file missing,False,0.2,sample
Y,none,19,file missing,False,0.3,sample
Y,none,20,file missing,False,0.4,sample
Y,none,21,file missing,False,0.0,blank
Y,none,22,file missing,False,0.1,blank
Y,none,23,file missing,False,0.2,blank
Y,none,24,file missing,False,0.3,blank
Y,none,25,file missing,False,0.4,blank
Y,none,26,file missing,True,0.0,blank
Y,none,27,file missing,True,0.1,blank
Y,none,28,file missing,True,0.2,blank
Y,none,29,file missing,True,0.3,blank
Y,none,30,file missing,True,0.4,blank
Y,none,31,file missing,True,0.0,blank
Y,none,32,file missing,True,0.1,blank
Y,none,33,file missing,True,0.2,blank
Y,none,34,file missing,True,0.3,blank
Y,none,35,file missing,True,0.4,blank
Y,working,36,file missing,True,0.0,blank
Y,working,37,file missing,True,0.1,blank
Y,working,38,file missing,True,0.2,blank
Y,working,39,file missing,True,0.3,blank
Y,working,40,file missing,True,0.4,blank
Y,counter,41,file missing,True,0.0,blank
Y,counter,42,file missing,True,0.1,blank
Y,counter,43,file missing,True,0.2,blank
Y,counter,44,file missing,True,0.3,blank
Y,counter,45,file missing,True,0.4,blank
Y,reference,46,file missing,True,0.0,blank
Y,reference,47,file missing,True,0.1,blank
Y,reference,48,file missing,True,0.2,blank
Y,reference,49,file missing,True,0.3,blank
Y,reference,50,file missing,True,0.4,blank
Y,none,51,file missing,True,0.0,sample
Y,none,52,file missing,True,0.1,sample
Y,none,53,file missing,True,0.2,sample
Y,none,54,file missing,True,0.3,sample
Y,none,55,file missing,True,0.4,sample
Y,none,56,file missing,True,0.0,sample
Y,none,57,file missing,True,0.1,sample
Y,none,58,file missing,True,0.2,sample
Y,none,59,file missing,True,0.3,sample
Y,none,60,file missing,True,0.4,sample
Y,working,61,file missing,True,0.0,sample
Y,working,62,file missing,True,0.1,sample
Y,working,63,file missing,True,0.2,sample
Y,working,64,file missing,True,0.3,sample
Y,working,65,file missing,True,0.4,sample
Y,counter,66,file missing,True,0.0,sample
Y,counter,67,file missing,True,0.1,sample
Y,counter,68,file missing,True,0.2,sample
Y,counter,69,file missing,True,0.3,sample
Y,counter,70,file missing,True,0.4,sample
Y,reference,71,file missing,True,0.0,sample
Y,reference,72,file missing,True,0.1,sample
Y,reference,73,file missing,True,0.2,sample
Y,reference,74,file missing,True,0.3,sample
Y,reference,75,file missing,True,0.4,sample
T,none,76,file missing,True,0.4,blank
T,none,77,file missing,True,0.4,blank
T,none,78,file missing,True,0.4,blank
T,none,79,file missing,True,0.4,blank
T,none,80,file missing,True,0.4,blank
T,none,81,file missing,True,0.4,blank
T,none,82,file missing,True,0.4,blank
T,none,83,file missing,True,0.4,blank
T,none,84,file missing,True,0.4,blank
T,none,85,file missing,True,0.4,blank
T,none,86,file missing,True,0.4,blank
T,none,87,file missing,True,0.4,blank
T,none,88,file missing,True,0.4,blank
T,none,89,file missing,True,0.4,blank
T,none,90,file missing,True,0.4,blank
T,none,91,file missing,True,0.4,blank
T,none,92,file missing,True,0.4,blank
T,none,93,file missing,True,0.4,blank
T,none,94,file missing,True,0.4,blank
T,none,95,file missing,True,0.4,blank
T,none,96,file missing,True,0.4,sample
T,none,97,file missing,True,0.4,sample
T,none,98,file missing,True,0.4,sample
T,none,99,file missing,True,0.4,sample
T,none,100,file missing,True,0.4,sample
T,none,101,file missing,True,0.4,sample
T,none,102,file missing,True,0.4,sample
T,none,103,file missing,True,0.4,sample
T,none,104,file missing,True,0.4,sample
T,none,105,file missing,True,0.4,sample
T,none,106,file missing,True,0.4,sample
T,none,107,file missing,True,0.4,sample
T,none,108,file missing,True,0.4,sample
T,none,109,file missing,True,0.4,sample
T,none,110,file missing,True,0.4,sample
T,none,111,file missing,True,0.4,sample
T,none,112,file missing,True,0.4,sample
T,none,113,file missing,True,0.4,sample
T,none,114,file missing,True,0.4,sample
T,none,115,file missing,True,0.4,sample
