file,solution,order_src,transform_mode,fit_line,polarity,Ep_med,Ep_mad,pon_med,fwhm_med,ip_med,detection_rate,n_hits
Cv2,sample,ca_beta,per_scan,frozen,-1,0.1732989975486223,0.0,114.07171434790428,0.9182500724811604,-2.0441513232238276e-06,0.2,1
Cv2,sample,ca_beta,per_scan,frozen_locks,-1,0.1732989978489286,0.0,114.07171441646707,0.918250071174708,-2.0441513231839777e-06,0.2,1
Cv2,sample,ca_beta,per_scan,joint_locks,-1,0.1735886098411483,0.0,115.4193225004868,0.9203860925301676,-2.076075857041112e-06,0.2,1
Cv2,sample,ca_beta,continuous,joint_locks,-1,0.1771538148273824,0.00018044529772848206,71.65743126505674,0.9285645746997684,-2.1466989434265618e-06,1.0,5
Cv2,sample,ca_beta,continuous,frozen_locks,-1,0.1800515115738001,2.2374833753613377e-05,71.06277710460904,0.9266914969599516,-2.1205963499225153e-06,1.0,5
Cv2,sample,ca_beta,continuous,frozen,-1,0.1800515169346736,2.232079705077883e-05,71.06277286863607,0.9266900097722612,-2.1205971042430503e-06,1.0,5
Cv2,sample,baseline_0.5,continuous,joint_locks,-1,0.1825311559956386,0.0005283516219871942,81.284313891799,0.9674792865939924,-2.178821929550012e-06,1.0,5
Cv2,sample,baseline_0.5,per_scan,joint_locks,-1,0.1830213473324076,0.0,132.36254812100697,0.942703643940978,-2.02468504108881e-06,0.2,1
Cv2,sample,baseline_0.5,continuous,frozen_locks,-1,0.1866562812712919,0.0016039444906584266,82.2549051989902,0.9596868359445632,-2.1391039098624715e-06,1.0,5
Cv2,sample,baseline_0.5,continuous,frozen,-1,0.1867799792210423,0.0013709493530585926,118.6506672254934,0.9599577438231192,-2.1391038786412555e-06,1.0,5
Cv2,sample,baseline_0.5,per_scan,frozen_locks,-1,0.1882976151711585,0.0,129.35815105831205,0.9348884166410836,-1.966581566235894e-06,0.2,1
Cv2,sample,baseline_0.5,per_scan,frozen,-1,0.1893900608202463,0.0,129.08284436730816,0.9336725806327516,-1.960978555433898e-06,0.2,1
Cv2,sample,baseline_0.5,continuous,joint_locks,-1,0.5407263857223338,0.0,7.850055127297922,2.717133883205231,-2.424312233120983e-07,0.2,1
Cv2,sample,baseline_0.5,per_scan,frozen,-1,0.5498770000015276,0.0,8.606821336025735,1.3948581270888234,-1.7113431721250195e-07,0.2,1
Cv2,sample,baseline_0.5,continuous,frozen_locks,-1,0.5895080000000196,0.0,11.082524820982629,0.5686954787497782,-2.416142408143165e-07,0.2,1
Cv2,sample,baseline_0.5,continuous,frozen,-1,0.589508000000662,0.0,11.082569186717343,0.5686047528373922,-2.4160394788588314e-07,0.2,1
Cv2,sample,baseline_0.5,continuous,joint_locks,-1,0.5944620000015274,0.0,15.853668813785577,2.3206308461622775,-3.609971507652085e-07,0.2,1
Cv2,sample,baseline_0.5,per_scan,joint_locks,-1,0.5944620000015274,0.0,8.168066133497216,1.6284651949680229,-1.6428754316664013e-07,0.2,1
Cv2,sample,baseline_0.5,per_scan,frozen_locks,-1,0.5944620000028437,0.0,9.558665498589884,0.366182158421662,-1.210859380925572e-07,0.2,1
Cv2,sample,baseline_0.5,continuous,joint_locks,1,0.1786231339997482,0.0002938044832618003,82.49661566364604,0.9728615028841072,2.205902405926561e-06,1.0,5
Cv2,sample,baseline_0.5,continuous,frozen_locks,1,0.1792740090659473,0.0010373218306377052,80.90300985076142,0.9689520319981074,2.1686927867806632e-06,1.0,5
Cv2,sample,baseline_0.5,continuous,frozen,1,0.1800738403234426,0.0008005145502764932,80.9029965164828,0.9699740943160668,2.1686927867498003e-06,1.0,5
Cv2,sample,ca_beta,continuous,joint_locks,1,0.1854817946315876,0.00015000239037241125,74.63335423686335,0.9469949007961648,2.3363669868084892e-06,1.0,5
Cv2,sample,ca_beta,continuous,frozen_locks,1,0.1885015564073617,0.0001384726560876015,73.40781155717042,0.9411485290661326,2.290760222043869e-06,1.0,5
Cv2,sample,ca_beta,continuous,frozen,1,0.1885015565748587,0.00013846762919419997,73.40789494716827,0.9411486075021116,2.290760103935777e-06,1.0,5
Cv2,sample,baseline_0.5,per_scan,joint_locks,1,0.1891862263080466,0.00036959761913518685,100.07272322024546,1.3542046594569923,3.6899957735789297e-06,1.0,5
Cv2,sample,ca_beta,per_scan,joint_locks,1,0.1902790011083369,0.00035098178291478876,95.5255557952459,1.2980884971745132,3.853479071455192e-06,1.0,5
Cv2,sample,baseline_0.5,per_scan,frozen,1,0.1930557204684453,0.0006733652650239008,82.7236457089754,1.1355087535091886,2.816327904042252e-06,1.0,5
Cv2,sample,baseline_0.5,per_scan,frozen_locks,1,0.1940128479904856,0.0008529116611651899,83.33510667026997,1.115281750865954,2.8188153151563498e-06,1.0,5
Cv2,sample,ca_beta,per_scan,frozen,1,0.1940791530372875,0.0006582548265711974,80.33137221730438,1.0831157860041667,2.941726996817053e-06,1.0,5
Cv2,sample,ca_beta,per_scan,frozen_locks,1,0.1940796719541637,0.0006587633583347019,79.7214743041145,1.0947963624312749,2.9417269685798204e-06,1.0,5
Cv2,sample,baseline_0.5,continuous,joint_locks,1,0.4309839999984726,0.0,26.21844760971431,11.860087166914164,1.2863816577360974e-06,0.2,1
Cv2,sample,baseline_0.5,continuous,frozen,1,0.5944622016925495,0.0,78.79088067535464,1.6677218082312688,1.5153881890090196e-06,0.2,1
Cv3,blank,baseline_0.5,continuous,frozen,-1,0.356677000001528,0.0,34.97575407287729,5.375882382910666,-6.797715947477504e-07,0.2,1
Cv3,blank,baseline_0.5,per_scan,frozen,-1,0.356677000001528,0.0,36.481647275557386,5.484552279010322,-7.14504686861497e-07,0.2,1
Cv3,blank,baseline_0.5,per_scan,frozen_locks,-1,0.4151800665850086,0.0,38.23476444710706,6.131165859908472,-7.563543361426664e-07,0.2,1
Cv3,blank,baseline_0.5,continuous,frozen_locks,-1,0.4153236215165191,0.0,38.329764898419306,6.132231491266401,-7.582040596437677e-07,0.2,1
Cv3,blank,baseline_0.5,per_scan,joint_locks,-1,0.4557539999984528,0.0,14.543801893919351,3.835998578462161,-2.428594329993797e-07,0.2,1
Cv3,blank,baseline_0.5,continuous,joint_locks,-1,0.455753999998472,0.0,14.54168680154548,3.835369913993522,-2.4280758803966324e-07,0.2,1
Cv3,blank,baseline_0.5,continuous,joint_locks,-1,0.530061999998472,0.0,9.504971843383435,0.4385427821954176,-5.595950048635233e-08,0.2,1
Cv3,blank,baseline_0.5,per_scan,joint_locks,-1,0.530061999998472,0.0,9.50308776020215,0.4376718307497533,-5.590378960349049e-08,0.2,1
Cv3,blank,baseline_0.5,continuous,frozen_locks,-1,0.5746459991488814,0.0,5.39477330481655,1.0349980706445632,-6.365841541507085e-08,0.2,1
Cv3,blank,baseline_0.5,per_scan,frozen_locks,-1,0.57464599921378,7.866641227316507e-10,7.7203948736472565,0.7638290077145564,-8.015118799597554e-08,0.4,2
Cv3,blank,baseline_0.5,continuous,frozen,-1,0.5746459994555004,0.0,5.394812539757009,1.0349742520264438,-6.36587165644473e-08,0.2,1
Cv3,blank,baseline_0.5,per_scan,frozen,-1,0.5746459999858422,1.6112056133721353e-11,7.719718974635574,0.76309157936739,-8.013128756660439e-08,0.4,2
Cv3,blank,baseline_0.5,continuous,joint_locks,-1,0.574645999998108,0.0,6.79964281619067,1.3730024412624295,-9.273626697151825e-08,0.2,1
Cv3,blank,baseline_0.5,per_scan,joint_locks,-1,0.5746463480255126,3.48025941454555e-07,10.244645627644882,0.879270045730699,-1.0973552774523726e-07,0.4,2
Cv3,blank,baseline_0.5,continuous,joint_locks,1,0.0148615500015276,0.0,5.04554499798448,0.3705573767380122,1.6709918778652023e-08,0.2,1
Cv3,blank,baseline_0.5,continuous,frozen,1,0.1832920000015278,0.0,28.568697425536705,5.924338148609636,6.161374903626538e-07,0.2,1
Cv3,blank,baseline_0.5,per_scan,frozen,1,0.1832920000015278,0.0,30.103306239920027,6.143680752718571,6.538350078898936e-07,0.2,1
Cv3,blank,baseline_0.5,continuous,joint_locks,1,0.2774150000015277,0.0,7.393449993066089,2.5637645687675277,6.460483500102762e-08,0.2,1
Cv3,blank,baseline_0.5,continuous,frozen_locks,1,0.2823689999984665,0.0,31.070922349431523,8.1296969090516,7.049717899884066e-07,0.2,1
Cv3,blank,baseline_0.5,per_scan,frozen_locks,1,0.282368999998473,0.0,30.982955790439483,8.131993779034426,7.032767437969883e-07,0.2,1
Cv3,blank,baseline_0.5,continuous,joint_locks,1,0.4904309999984723,0.0,6.87186481600858,3.181102332712896,6.69211998987529e-08,0.2,1
Cv3,blank,baseline_0.5,continuous,joint_locks,1,0.5647371949302182,0.0,10.520917432322806,0.4446847316909413,6.21561036373457e-08,0.2,1
Cv3,blank,baseline_0.5,per_scan,joint_locks,1,0.5647379883433564,0.0,10.503687971264668,0.4451609708952578,6.207758510850112e-08,0.2,1
Cv3,blank,baseline_0.5,continuous,frozen,1,0.5647379999984723,0.0,5.589249406679611,0.3860510524625062,3.0545714282017664e-08,0.2,1
Cv3,blank,baseline_0.5,continuous,frozen_locks,1,0.5647379999984723,0.0,5.245821641389906,0.5901501161069219,3.5586615045133065e-08,0.2,1
Cv3,blank,baseline_0.5,per_scan,frozen,1,0.5647379999984723,0.0,5.593788458819995,0.3885705388059767,3.068396474809257e-08,0.2,1
Cv3,blank,baseline_0.5,per_scan,frozen_locks,1,0.5647379999984723,0.0,5.290250330467277,0.5964509812552818,3.608328124587849e-08,0.2,1
Cv4,sample,ca_beta,per_scan,frozen,-1,0.1687587759953712,0.0,63.46472644215917,0.911802133256275,-2.091033903804204e-06,0.2,1
Cv4,sample,ca_beta,per_scan,frozen_locks,-1,0.1687587760633908,0.0,63.46472647621925,0.9118021321104316,-2.0910339043505905e-06,0.2,1
Cv4,sample,ca_beta,per_scan,joint_locks,-1,0.1698728308017083,0.0,64.16849635792667,0.9138857582163186,-2.1225252613246716e-06,0.2,1
Cv4,sample,ca_beta,continuous,joint_locks,-1,0.1726742729111476,0.0005373430123112866,67.62143812370583,0.919650692595582,-2.177830148132271e-06,1.0,5
Cv4,sample,ca_beta,continuous,frozen,-1,0.1748677829348217,0.000439070562948507,66.88020634154678,0.9187128629579442,-2.146408123953689e-06,1.0,5
Cv4,sample,ca_beta,continuous,frozen_locks,-1,0.1748677841118446,0.0004390698040825092,66.88020637731563,0.9187128554922076,-2.1464081278787677e-06,1.0,5
Cv4,sample,baseline_0.5,continuous,frozen_locks,-1,0.17519355595768776,0.005137023826701212,86.29714766934504,0.9628899330071725,-2.396599858104075e-06,0.8,4
Cv4,sample,baseline_0.5,continuous,frozen,-1,0.1759418969375776,0.0058850908849181205,86.29733148623765,0.9628900303933966,-2.3786431560992136e-06,0.8,4
Cv4,sample,baseline_0.5,per_scan,joint_locks,-1,0.1797613756551295,0.0,73.82848785179878,0.946369856942068,-2.0521216942320124e-06,0.2,1
Cv4,sample,baseline_0.5,continuous,joint_locks,-1,0.18133117735156606,0.0019481826818733006,79.91692158303596,0.9659695632450631,-2.2427643308005392e-06,0.8,4
Cv4,sample,baseline_0.5,per_scan,frozen,-1,0.1826694291419323,0.0,72.55746503311744,0.9411731740910158,-2.006980774837511e-06,0.2,1
Cv4,sample,baseline_0.5,per_scan,frozen_locks,-1,0.1826694623860564,0.0,72.55745972224332,0.9411733100710616,-2.006980746221213e-06,0.2,1
Cv4,sample,baseline_0.5,continuous,frozen,-1,0.5994147437715961,0.0,61.04654834796177,0.4455859726374492,-1.0391911822345175e-06,0.2,1
Cv4,sample,baseline_0.5,continuous,joint_locks,-1,0.599414981058784,0.0,11.585083429974754,2.7000658284781607,-4.230484222970461e-07,0.2,1
Cv4,sample,baseline_0.5,continuous,frozen_locks,-1,0.5994149998855461,0.0,12.640634419245144,1.0965575573079136,-3.5481954599914253e-07,0.2,1
Cv4,sample,baseline_0.5,continuous,joint_locks,1,0.1760860581125376,0.0026563802066742193,89.09608331501292,0.9762006647216062,2.23654280360437e-06,1.0,5
Cv4,sample,baseline_0.5,continuous,frozen,1,0.1783303914634401,0.002692200607910117,82.35309625664328,0.970635387427279,2.1892705929771287e-06,1.0,5
Cv4,sample,baseline_0.5,continuous,frozen_locks,1,0.17861268314157,0.0024207843415516017,82.08437403805968,0.9706352929756622,2.1803700350293634e-06,1.0,5
Cv4,sample,ca_beta,continuous,joint_locks,1,0.1876589252108671,7.730648758411118e-05,72.19159993826251,0.9392267616571676,2.4370171157629773e-06,1.0,5
Cv4,sample,baseline_0.5,per_scan,joint_locks,1,0.1890581035639292,0.0004693922070634071,108.08148342551864,1.369471378601901,3.740238905226186e-06,1.0,5
Cv4,sample,ca_beta,per_scan,joint_locks,1,0.1903862425081317,0.0004637402041242078,92.75695241992814,1.2847108622966392,3.940852099602886e-06,1.0,5
Cv4,sample,ca_beta,continuous,frozen_locks,1,0.1909441448687613,0.00013722727594708828,70.98681007771066,0.9308876873314664,2.3793494804458474e-06,1.0,5
Cv4,sample,ca_beta,continuous,frozen,1,0.1909441459108249,0.00013722702547339094,70.98680970930656,0.9308876966994162,2.379349475613104e-06,1.0,5
Cv4,sample,baseline_0.5,per_scan,frozen,1,0.1934206585167056,0.0007638779086802105,94.4329629748298,1.142465619858004,2.8523321954922636e-06,1.0,5
Cv4,sample,baseline_0.5,per_scan,frozen_locks,1,0.1934206910222766,0.002794500407289985,90.90186480153722,1.1378477249871035,2.8533151113890936e-06,1.0,5
Cv4,sample,ca_beta,per_scan,frozen_locks,1,0.1945946313525583,0.00031393584472888536,77.6709587718274,1.0830266041439045,3.0081481211801457e-06,1.0,5
Cv4,sample,ca_beta,per_scan,frozen,1,0.1949085494090818,0.0013401437384336912,78.23683251749551,1.0606061523240873,3.0225556653270764e-06,1.0,5
Cv4,sample,baseline_0.5,per_scan,frozen_locks,1,0.579599999701257,0.0,14.656356241551586,2.8284887434931836,8.010228935418391e-07,0.2,1
Cv4,sample,baseline_0.5,per_scan,joint_locks,1,0.5795999999977419,0.0,26.140382350859337,4.952933534706454,1.835767829806991e-06,0.2,1
Cv4,sample,baseline_0.5,continuous,frozen,1,0.59699676173696,0.0,49.42148909854519,0.4433426488965728,8.012482945035579e-07,0.2,1
Cv5,blank,baseline_0.5,per_scan,frozen,-1,0.3665840537118947,0.0,8.927396429481165,1.806573202441294,-8.615345739699094e-08,0.2,1
Cv5,blank,baseline_0.5,continuous,frozen,-1,0.3665840658044327,0.0,8.927412069802457,1.8065749226109544,-8.615364485023755e-08,0.2,1
Cv5,blank,baseline_0.5,continuous,frozen_locks,-1,0.3665840679397038,0.0,8.927460357161769,1.8065822938123808,-8.615426874153504e-08,0.2,1
Cv5,blank,baseline_0.5,per_scan,frozen_locks,-1,0.3665840739995739,0.0,8.927420494301124,1.8065795486789205,-8.61538281083747e-08,0.2,1
Cv5,blank,baseline_0.5,continuous,joint_locks,-1,0.4656609999984723,0.0,15.16476632975328,3.977668304394933,-2.074900443036295e-07,0.2,1
Cv5,blank,baseline_0.5,per_scan,joint_locks,-1,0.4656609999984723,0.0,15.161371469280802,3.977094051859714,-2.074371518178774e-07,0.2,1
Cv5,blank,baseline_0.5,continuous,joint_locks,-1,0.539968999998472,0.0,5.710058927928953,2.481306678789242,-8.12635106248008e-08,0.2,1
Cv5,blank,baseline_0.5,per_scan,joint_locks,-1,0.539968999998472,0.0,5.748508358542173,2.529110757286385,-8.30048663162378e-08,0.2,1
Cv5,blank,baseline_0.5,per_scan,frozen_locks,-1,0.5498769999984143,0.0,8.598240435005318,1.8471600080537032,-8.426078873228943e-08,0.2,1
Cv5,blank,baseline_0.5,per_scan,frozen,-1,0.5498769999987733,0.0,8.598267405039516,1.8471577866480908,-8.426099676461107e-08,0.2,1
Cv5,blank,baseline_0.5,continuous,frozen,-1,0.5498769999987795,0.0,8.598254724220576,1.847154611377961,-8.426080172423115e-08,0.2,1
Cv5,blank,baseline_0.5,continuous,frozen_locks,-1,0.5498769999988471,0.0,8.59821324853089,1.8471501558486885,-8.426030499914981e-08,0.2,1
Cv5,blank,baseline_0.5,continuous,frozen,-1,0.5795999996204918,0.0049540003798063115,7.396623417921502,0.5755422616194248,-7.350941291999842e-08,0.4,2
Cv5,blank,baseline_0.5,per_scan,frozen,-1,0.5795999999570094,0.004954000044974205,7.368596020682877,0.5790699601197107,-7.396505274810517e-08,0.4,2
Cv5,blank,baseline_0.5,per_scan,joint_locks,-1,0.5796000000008432,0.004954000002567738,8.726749580106858,0.8006364096826781,-9.785196991873756e-08,0.4,2
Cv5,blank,baseline_0.5,continuous,frozen_locks,-1,0.5796000000052276,0.004954000009797621,7.396564478329047,0.5753829624798967,-7.350910187170646e-08,0.4,2
Cv5,blank,baseline_0.5,per_scan,frozen_locks,-1,0.5796000000505148,0.004954000055671759,7.368518815040941,0.57886365520064,-7.396717878560359e-08,0.4,2
Cv5,blank,baseline_0.5,continuous,joint_locks,-1,0.5796000001078637,0.0049540001095793595,8.770918357082314,0.7967376807340713,-9.758902163332e-08,0.4,2
